Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
5fa27210d3c0dd76edb11cf3,5429a58d-8f55-44b8-ad84-83b7a1b03b29,PHYSICAL,the-store,a-horse-walks-into-a-bar,A Horse Walks Into a Bar by David Grossman,"<p class="""">WINNER OF THE INTERNATIONAL MAN BOOKER PRIZE 2017. </p><p class="""">One of the world’s great writers venturing into exciting new territory — a heartbreaking, visceral novel about a stand-up comedian. </p><p class="""">The setting is a comedy club in a small Israeli town. An audience that has come expecting an evening of amusement instead sees a comedian falling apart on stage; an act of disintegration, a man crumbling, as a matter of choice, before their eyes. They could get up and leave, or boo and whistle and drive him from the stage, if they were not so drawn to glimpse his personal hell. </p><p class="""">Dovaleh G, a veteran stand-up comic — charming, erratic, repellent — exposes a wound he has been living with for years: a fateful and gruesome choice he had to make between the two people who were dearest to him. <em>A Horse Walks into a Bar</em> is a shocking and breathtaking read. Betrayals between lovers, the treachery of friends, guilt demanding redress. </p><p class="""">Flaying alive both himself and the people watching him, Dovaleh G provokes both revulsion and empathy from an audience that doesn’t know whether to laugh or cry — and all this in the presence of a former childhood friend who is trying to understand why he’s been summoned to this performance. </p><p class="""">ISBN: 9781784704223 | Published: June 2017 | Paperback</p>",SQ7201132,,,,,,,22.99,0,No,3,"/region/middle-east/israel, /genre/literary-fiction, /genre/translated, /genre/general-fiction","Israel, hebrew, jewish, contemporary, humour",0.15,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa60f88066f8a0264621e6c/1604718484037/DAVID+GROSSMAN+a+horse+walks+into+a+bar.jpg
5fa27212d3c0dd76edb11d35,4274bf89-630e-4d1f-8e57-c4b4ae2c3450,PHYSICAL,the-store,becoming,Becoming by Michelle Obama,"<p class="""">In a life filled with meaning and accomplishment, Michelle Obama has emerged as one of the most iconic and compelling women of our era. </p><p class="""">As First Lady of the United States of America-the first African-American to serve in that role-she helped create the most welcoming and inclusive White House in history, while also establishing herself as a powerful advocate for women and girls in the U.S. and around the world, dramatically changing the ways that families pursue healthier and more active lives, and standing with her husband as he led America through some of its most harrowing moments. Along the way, she showed us a few dance moves, crushed Carpool Karaoke, and raised two down-to-earth daughters under an unforgiving media glare. </p><p class="""">In her memoir, a work of deep reflection and mesmerizing storytelling, Michelle Obama invites readers into her world, chronicling the experiences that have shaped her-from her childhood on the South Side of Chicago to her years as an executive balancing the demands of motherhood and work, to her time spent at the world's most famous address. With unerring honesty and lively wit, she describes her triumphs and her disappointments, both public and private, telling her full story as she has lived it-in her own words and on her own terms. </p><p class="""">Warm, wise, and revelatory, <em>Becoming</em> is the deeply personal reckoning of a woman of soul and substance who has steadily defied expectations-and whose story inspires us to do the same. </p><p class="""">ISBN: 9780241334140 | Published: November 2018 | Hardcover</p>",SQ6756318,,,,,,,49.99,0,No,10,"/region/america/usa, /genre/non-fiction/biography-and-memoir, /black","memoir, politics, Black, Black American",0.77,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa60f26b75bcf39d6435be7/1604718414925/MICHELLE+OBAMA+becoming.jpg
5fa27212d3c0dd76edb11d5a,ebf84d25-cdff-418b-bdcd-f2fbb1d96459,PHYSICAL,the-store,sex-and-vanity,Sex and Vanity by Kevin Kwan,"<p class="""">The iconic author of the bestselling phenomenon <em>Crazy Rich Asians</em> returns with the glittering tale of a young woman who finds herself torn between two men.</p><p class="""">On her very first morning on the jewel-like island of Capri, Lucie Churchill sets eyes on George Zao and she instantly can't stand him. She can't stand it when he gallantly offers to trade hotel rooms with her so that she can have a view of the Tyrrhenian Sea, she can't stand that he knows more about Casa Malaparte than she does, and she really can't stand it when he kisses her in the darkness of the ancient ruins of a Roman villa. The daughter of an American-born Chinese mother and a blue-blooded New York father, Lucie has always sublimated the Asian side of herself, and she adamantly denies having feelings for George. </p><p class="""">But several years later, when George unexpectedly appears in East Hampton, where Lucie is weekending with her new fiancé, she finds herself drawn to him again. Soon, Lucie is spinning a web of deceit that involves her family, her fiancé and ultimately herself, as she tries to deny George entry into her world - and her heart. Moving between summer playgrounds of privilege, peppered with decadent food and extravagant fashion, Sex and Vanity is a truly modern love story, a daring homage to A Room with a View, and a brilliantly funny comedy of manners set between two cultures. </p><p class="""">ISBN: 9781786332288 | Published: July 2020 | Paperback</p>",SQ4133053,,,,,,,32.99,0,No,5,"/region/america/usa, /genre/romance, /mixed-race, /new-releases, /genre/general-fiction","Romance, North America, Asian-American, chinese-american, capri, italy, wealth, 2020 Hits, 2020 release",0.48,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa60ecc4f8f02449a9c8744/1604718310525/KEVIN+KWAN+swx+and+vanity.jpg
5fa27213d3c0dd76edb11d69,f1999a6b-feb3-415c-9f45-b747ee024a36,PHYSICAL,the-store,exit-west,Exit West by Mohsin Hamid,"<p class="""">In a city swollen by refugees and bubbling with civil unrest, two young people fall in love. Their homeland is on the brink of war. One day soon they must leave it behind: striking out into the unknown, searching for some corner of the world that might be safe.</p><p class=""""><em>Exit West</em> is an extraordinary, sweeping journey, reaching far across the globe and deep into the human heart. In a world of upheaval and fear, how can we hold onto our humanity? In a world of closed borders, what happens when a door is opened?</p><p class="""">Mohsin Hamid's novel blazes triumphantly in the darkness, singing from the eye of the storm.</p><p class="""">ISBN: 9780241979068 | Published: March 2017 | Paperback</p>",SQ2851663,,,,,,,19.99,0,No,7,"/genre/literary-fiction, /region/asia/south-asia/pakistan, /genre/general-fiction","Magical Realism, contemporary, refugees",0.17,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa3fa1a66c22a724b4ad578/1604581944797/MOHSIN+HAMID+exit+west.jpg
5fa27213d3c0dd76edb11d8c,161c2e50-a5ba-4799-80b7-bf070a5a85ae,PHYSICAL,the-store,girl-woman-other,"Girl, Woman, Other by Bernadine Evaristo","<p class=""""><strong><em>Joint Winner of the Man Booker Prize 2019</em></strong></p><p class="""">Grace is a Victorian orphan dreaming of the mysterious African father she will never meet. Winsome is a young Windrush bride, recently arrived from Barbados. Amma is the fierce queen of her 1980s squatters' palace. Morgan, who used to be Megan, is blowing up on social media, the newest activist-influencer on the block. </p><p class="""">Twelve very different people, mostly black and female, more than a hundred years of change, and one sweeping, vibrant, glorious portrait of contemporary Britain. Bernardine Evaristo presents a gloriously new kind of history for this old country: ever-dynamic, ever-expanding and utterly irresistible. </p><p class="""">ISBN: 9780241984994 | Published: May 2019 | Paperback</p>",SQ3606455,,,,,,,19.99,0,No,3,"/region/ukeurope/england, /genre/literary-fiction, /black, /genre/general-fiction","Indian-British, Black, Award Winner, Black British, feminist, LGBTQIA+",0.33,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa3fe1f9c22a73ff23b1af7/1604582961374/BERNARDINE+EVARISTO+girl+woman+other.jpg
5fa27213d3c0dd76edb11d98,a605a507-8007-4a4e-bf6f-6db0844fd50a,PHYSICAL,the-store,how-to-be-an-antiracist,How To Be an Antiracist by Ibram X. Kendi,"<p class="""">Using his extraordinary gifts as a teacher and story-teller, Kendi helps us recognise that everyone is, at times, complicit in racism whether they realise it or not, and by describing with moving humility his own journey from racism to antiracism, he shows us how instead to be a force for good. </p><p class="""">Along the way, Kendi punctures all the myths and taboos that so often cloud our understanding, from arguments about what race is and whether racial differences exist to the complications that arise when race intersects with ethnicity, class, gender and sexuality. In the process he demolishes the myth of the post-racial society and builds from the ground up a vital new understanding of racism - what it is, where it is hidden, how to identify it and what to do about it.</p><p class="""">ISBN: 9781847925992 | Published: August 2019 | Hardcover</p>",SQ0526871,,,,,,,35,0,No,6,"/region/america/usa, /genre/non-fiction/essays, /genre/non-fiction/antiracist","Antiracist, Black American, 2020 hits, Black",0.47,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa3fe9a6697f442c1b89fbd/1604583105526/IBRAM+X+KENDI+HOW+TO+BE+AN+ANTIRACIST.jpg
5fa27214d3c0dd76edb11da2,c4aa70c3-ebfb-45e3-8bc1-01bab8889117,PHYSICAL,the-store,noughts-and-crosses,Noughts & Crosses (Noughts & Crosses #1) by Malorie Blackman,"<p class=""""><strong><em>Voted as one of the UK's best-loved books, Malorie Blackman's Noughts &amp; Crosses is a seminal piece of YA fiction; a true modern classic.</em></strong></p><p class="""">Two young people are forced to make a stand in this thought-provoking look at racism and prejudice in an alternate society.<br><br>Sephy is a Cross — a member of the dark-skinned ruling class. Callum is a Nought — a “colourless” member of the underclass who were once slaves to the Crosses. The two have been friends since early childhood, but that’s as far as it can go. In their world, Noughts and Crosses simply don’t mix.</p><p class="""">Against a background of prejudice and distrust, intensely highlighted by violent terrorist activity, a romance builds between Sephy and Callum — a romance that is to lead both of them into terrible danger. Can they possibly find a way to be together?</p><p class="""">ISBN: 9780552555708 | Published: January 2001 | Paperback</p>",SQ1277638,,,,,,,19.99,0,No,5,"/genre/sci-fi-fantasy, /genre/young-adult, /region/ukeurope/england","Black, colonialism, Black British, adapted, series, Noughts & Crosses, dystopia",0.34,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa75de5d9418b4912954f25/1604804072273/MALORIE+BLACKMAN+noughts+and+crossesjpg.jpg
5fa27214d3c0dd76edb11dc7,677a2ad8-f37d-4f57-a1ac-847990f456ae,PHYSICAL,the-store,knife-edge,Knife Edge (Noughts & Crosses #2) by Malorie Blackman,"<p class="""">When truth and justice are no longer black and white issues . . .</p><p class="""">Sephy is a Cross, one of the privileged in a society where the ruling Crosses treat the pale-skinned noughts as inferiors. But her baby daughter has a nought father . . .</p><p class="""">Jude is a Nought. Eaten up with bitterness, he blames Sephy for the terrible losses his family has suffered . . .</p><p class="""">Now Jude's life rests on a knife edge. Will Sephy be forced, once again, to take sides? A razor-sharp and intensely moving novel, the second in the Noughts &amp; Crosses sequence.</p><p class="""">ISBN: 9780141378657 | Published: August 2003 | Paperback</p>",SQ5875546,,,,,,,19.99,0,No,3,"/genre/sci-fi-fantasy, /genre/young-adult, /region/ukeurope/england","Black, Black British, adapted, series, Noughts & Crosses, dystopia",0.27,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa75d8f2057b138b447d74a/1604803985642/MALORIE+BLACKMAN+knife+edge.jpg
5fa27215d3c0dd76edb11dda,78b49c15-4887-47b8-8e4e-fd0bf92319d3,PHYSICAL,the-store,checkmate,Checkmate (Noughts & Crosses #3) by Malorie Blackman,"<p class="""">Can the future ever erase the past? </p><p class="""">Rose has a Cross mother and a nought father in a society where the pale-skinned noughts are treated as inferiors and those with dual heritage face a life-long battle against deep-rooted prejudices. </p><p class="""">Sephy, her mother, has told Rose virtually nothing about her father, but as Rose grows into a young adult, she unexpectedly discovers the truth about her parentage and becomes determined to find out more. </p><p class="""">But her father's family has a complicated history — one tied up with the fight for equality for the nought population. And as Rose takes her first steps away from Sephy and into this world, she finds herself drawn inexorably into more and more danger. Suddenly it's a game of very high stakes that can only have one winner . . . </p><p class="""">The powerful third story in the Noughts &amp; Crosses sequence. </p><p class="""">ISBN: 9780141378664 | Published: June 2005 | Paperback</p>",SQ2648266,,,,,,,19.99,0,No,3,"/genre/sci-fi-fantasy, /genre/young-adult, /region/ukeurope/england","Black, Black British, adapted, dystopia, colonialism, series, Noughts & Crosses",0.37,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa75e254e5ce030c79d2af2/1604804136009/MALORIE+BLACKMAN+checkmakte.jpg
5fa27215d3c0dd76edb11de5,72dfa823-bdda-466c-827d-91dc9ae20a10,PHYSICAL,the-store,double-cross,Double Cross (Noughts & Crosses #4) by Malorie Blackman,"<p class="""">Just this once . . . </p><p class="""">Please let me get away with it just this once . . . </p><p class="""">Tobey wants a better life - for him and his girlfriend Callie Rose. He wants nothing to do with the gangs that rule the world he lives in. But when he's offered the chance to earn some money just for making a few 'deliveries', just this once, would it hurt to say 'yes'? One small decision can change everything . . . </p><p class="""">The fourth novel in Malorie Blackman's powerful Noughts &amp; Crosses sequence. </p><p class="""">ISBN: 9780141378671 | Published: November 2008 | Paperback</p>",SQ3023226,,,,,,,19.99,0,No,3,"/genre/sci-fi-fantasy, /genre/young-adult, /region/ukeurope/england","Black, dystopia, Black British, adapted, colonialism, series, Noughts & Crosses",0.32,0,0,0,Yes,https://static1.squarespace.com/static/5f700c249c46e86db79c8d50/5f70550a35ffa16c0e7643b8/5fa75d1f6e5c7b08c18c34a9/1604803880425/MALORIE+BLACKMAN+double+crossjpg.jpg
